manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio
HP,HP EliteDesk 800 G6 Small Form Factor PC,Workplace,Workstation,520.0,,55.15,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524592.pdf,0.2404,,5.7,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteDesk 800 G6 TWR PC,Workplace,Workstation,520.0,,51.32,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524599.pdf,0.2308,,7.21,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteDesk 880 G6 TWR PC,Workplace,Workstation,520.0,,51.32,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524600.pdf,0.2308,,7.21,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProDesk 400 G7 Microtower PC,Workplace,Workstation,600.0,,53.98,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524588.pdf,0.35,,5.87,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProDesk 480 G7 PCI Microtower PC,Workplace,Workstation,705.0,,64.2,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524590.pdf,0.2411,,6.24,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProDesk 600 G6 Microtower PC,Workplace,Workstation,675.0,,54.39,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524596.pdf,0.2296,,6.36,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProDesk 600 PCI G6 Microtower PC,Workplace,Workstation,675.0,,54.39,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524597.pdf,0.2296,,6.36,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProDesk 680 PCI G6 Microtower PC,Workplace,Workstation,670.0,,54.39,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524598.pdf,0.2239,,6.46,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP t540 Thin Client,Workplace,Workstation,130.0,,34.81,5.0,Worldwide,,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525204.pdf,0.3462,,1.21,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E14 G4 Portable Monitor,Workplace,Monitor,480.0,,12.45,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524886.pdf,0.2292,,0.6,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E22 G4,Workplace,Monitor,555.0,,31.9,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524885.pdf,0.2162,,5.79,China,21.5,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E24i G4 HO,Workplace,Monitor,565.0,,36.01,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524888.pdf,0.2124,,6.44,China,24.1,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E24i G4 WUXGA Monitor,Workplace,Monitor,565.0,,36.01,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524887.pdf,0.2124,,6.44,China,24.1,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E24q G4 QHD Monitor,Workplace,Monitor,585.0,,41.0,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524890.pdf,0.2137,,6.234,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,HP P24 G4 23.8-inch Monitor,Workplace,Monitor,535.0,,37.41,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524884.pdf,0.2243,,3.56,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
